ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0046638,positive regulation of alpha-beta T cell differentiation,44/15173,47/18866,0.011022999,0.045804648,0.031597087,ADA/ANXA1/AP3B1/AP3D1/CBFB/CD80/CD83/CD86/FOXP3/GLI3/HLX/IFNG/IHH/IL12RB1/IL18/IL23A/IL23R/IL4R/ITPKB/LGALS9/MALT1/MYB/NCKAP1L/NFKBID/NFKBIZ/NKAP/NLRP3/PNP/PRKCZ/RARA/RHOA/RIPK2/RUNX1/RUNX3/SASH3/SHH/SOCS1/SOCS5/SYK/TGFBR2/TNFSF4/ZAP70/ZBTB16/ZBTB7B,44
GO:0002726,positive regulation of T cell cytokine production,20/15173,20/18866,0.012786956,0.051584376,0.035584075,B2M/CD81/FZD5/GATA3/HLA-A/IL18/IL18R1/IL1B/IL1R1/IL6/MALT1/MAP3K7/NLRP3/PRKCZ/RSAD2/SASH3/TNFSF4/TRAF2/TRAF6/XCL1,20
GO:0045581,negative regulation of T cell differentiation,43/15173,46/18866,0.012920746,0.05191966,0.035815362,ANXA1/BCL6/BMP4/CBFB/CD74/CTLA4/DTX1/ERBB2/FGL2/FOXJ1/FOXP3/GLI3/HLX/HMGB1/IFNB1/IFNL1/IHH/IL2/IL4/IL4R/IRF1/JAK3/LAG3/LOXL3/MDK/NFKBID/NRARP/PRDX2/PTPN2/RC3H1/RC3H2/RUNX1/RUNX3/SHH/SMAD7/SOCS1/SOCS5/TBX21/TMEM131L/TNFSF4/ZBTB7B/ZC3H12A/ZC3H8,43
GO:0043029,T cell homeostasis,36/15173,38/18866,0.013116981,0.052427589,0.036165742,AKT1/BAX/BCL2/BCL2L11/CACNA1F/CASP3/CCNB2/CORO1A/DNAJA3/FADD/FAS/FOXP3/GPAM/GPR174/IL2/IL2RA/JAK3/LGALS9/NCKAP1L/P2RX7/PMAIP1/PPP2R3C/PPP3CB/RAG1/RC3H1/RC3H2/RIPK3/SIT1/SLC39A3/SLC46A2/SPNS2/STAT5B/TCIRG1/TNFSF14/TSC22D3/ZC3H8,36
GO:0046629,gamma-delta T cell activation,19/15173,19/18866,0.015903112,0.061410771,0.042362545,CCR9/CXADR/EGR3/GPR18/ITK/JAG2/JAML/LEF1/LILRB1/MICA/MICB/NCKAP1L/NOD2/PTPRC/SOX13/SOX4/STAT5B/SYK/TCF7,19
GO:0043368,positive T cell selection,34/15173,36/18866,0.018411641,0.069527748,0.047961821,BATF/BCL11B/BCL2/CD3D/CD3E/CD3G/CD74/CTSL/CYLD/DOCK2/FOXP3/IL12RB1/IL23A/IL23R/IL6/IRF4/ITPKB/LOXL3/LY9/MTOR/PTPN2/PTPRC/SHH/SLAMF6/SPN/SRF/STAT3/STAT6/STK11/TBX21/THEMIS/TOX/ZAP70/ZFPM1,34
GO:0046633,alpha-beta T cell proliferation,34/15173,36/18866,0.018411641,0.069527748,0.047961821,ARG2/CCR2/CD274/CD28/CD3E/CD55/CD81/DOCK2/EBI3/ELF4/HLA-A/HLA-E/IL15/IL18/IL23A/IRF1/LGALS9/LGALS9B/LGALS9C/MAPK8IP1/PTPN22/PTPRC/RASAL3/RIPK2/SH3RF1/SYK/TGFBR2/TNFRSF14/TNFSF4/TWSG1/VSIR/XCL1/ZAP70/ZBTB7B,34
GO:2001185,"regulation of CD8-positive, alpha-beta T cell activation",18/15173,18/18866,0.019778414,0.073325677,0.050581718,CBFB/CD274/CRTAM/HFE/HLA-A/HLA-E/IRF1/LILRB1/MAPK8IP1/NCKAP1L/PTPN22/RUNX1/RUNX3/SH3RF1/SOCS1/VSIR/XCL1/ZBTB7B,18
GO:0001914,regulation of T cell mediated cytotoxicity,33/15173,35/18866,0.021773459,0.079141897,0.054593879,AGER/B2M/CD1A/CD1B/CD1C/CD1D/CD1E/CEACAM1/CYRIB/FADD/FCGR2B/HLA-A/HLA-B/HLA-E/HLA-F/HLA-G/HLA-H/IL12A/IL12RB1/IL23A/IL23R/IL7R/LILRB1/MR1/NECTIN2/P2RX7/PPP3CB/PTPRC/PVR/RIPK3/SLC22A13/STX7/XCL1,33
GO:0045066,regulatory T cell differentiation,33/15173,35/18866,0.021773459,0.079141897,0.054593879,BCL6/BTN2A2/CBFB/CD28/CD46/CR1/CTLA4/DROSHA/DUSP10/FANCA/FANCD2/FOXP3/FUT7/HLA-G/IFNG/IL2/IL2RA/IRF1/KAT2A/LAG3/LGALS9/LILRB2/LILRB4/MDK/NFATC2/PLA2G2D/RUNX1/SOCS1/SOX12/TNFRSF18/TNFSF4/TOX/VSIR,33
