"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"CALCOCO1",148.634445,132.88387,144.921084,140.1950153,150.9628812,117.463854,101.0103941,142.242766,111.549601,89.772952,152.2542,97.522235,103.843037
"CALCOCO2",234.056234,271.766181,172.1148039,266.835866,240.085992,234.40994,188.551167,206.07907,149.156734,148.829258,166.1440946,205.348453,209.560276
"CALCP",0,0,0,0,0,6.14503,2.3127,0,0,0,0,0,0
"CALCR",0,0,0,0,0.224352,0,0,0,0,0,0,0,0
"CALCRL",4.138065785,2.115911088,3.908440051,3.538400031,2.475708001,8.9858373,4.599719,6.559378,3.089449095,6.157227,2.588523,4.420278,5.697906
"CALD1",4.9142901,5.186796,5.7334579,8.367866854,9.727369,5.670466805,4.9180538,10.161952,4.9692945,6.388030028,11.24176224,13.003884,7.90655
"CALHM1",0.396811,0.0622541,0.52251,0.154595,0.21925,0.780425,0.0286869,0.572459,0.507469,0.0863075,0.350279,0.0587412,0.331096
"CALHM2",106.74518,95.505752,88.03098,92.568331,98.695561,72.66601,97.4877,107.936367,139.18595,124.812884,127.20961,77.55997,43.92277
"CALHM3",0,0,0,0,0,0.212712,0,0,0,0,0,0,0
"CALHM5",0.361713,0.43436,0,0,0.00911348,0,0.263311,0.295189,0.182877,0.0515299,0,0.0268268,0.324129
"CALHM6",101.4041,134.7143,58.75202,53.96179,83.6981,58.9587,105.7501,76.7167,54.5669,60.90687,54.4186,82.27951,33.6222
"CALHM6-AS1",0,0,4.25852,0,0,3.48993,0,0,0,0,0.740469,0,0
"CALM1",772.62993,750.8098529,945.73139,899.210301,808.613446,916.17703,710.665541,632.116691,669.010053,729.90758,588.478769,665.553878,794.84677
"CALM1P2",0,0,0.38208,0,0,0,0,0,0,0,0,0,0.532382
"CALM2",1363.56535,1612.19926,1094.895107,1343.841086,1484.93361,1514.409997,833.632667,755.4016201,879.71661,960.77587,916.58101,986.910484,1040.37454
"CALM2P2",0.877628,2.14858,7.12904,7.23412,5.56198,5.1463,1.17773,2.21912,3.52617,3.17292,3.87096,6.87088,5.93246
"CALM2P3",0.822771,0.397164,0.38863,0,0.400221,0.341101,0,0,0,0,0,0,0
"CALM2P4",0,0,0,0,0.430692,0,0,0,0,0,0,0,0
"CALM3",103.688493,135.39745,131.47411,131.51204,125.60201,112.55921,90.802944,116.538031,119.6194373,103.5853601,137.28126,104.15648,107.02388
"CALML3-AS1",0.0217857,0.0212565,0,0.02319,0,0.0185471,0,0.111775,0.0191421,0.0190643,0.0512584,0.0195411,0.0855196
"CALML4",16.474835,15.155888,16.535075,13.22419864,8.63539,8.2885771,7.258118,11.20235,12.85022,12.222163,12.556359,7.9234,3.126194
"CALML6",0.526658,0,0,0,0,0,0,0,0,0,0,0,0.141548
"CALN1",0.0813988,0.0254051,0.132994,0.156223,0.291459,0.0849493,0.0730068,0.0664347,0.0099138,0,0.4301932,0.012595,0.0722656
"CALR",140.73708,130.81523,154.030941,159.2096,147.2574,159.200611,161.09694,119.88626,145.873131,149.292479,149.36958,189.14382,94.78193
"CALR3",0,0,0,0,0,0,0,0,0,0.45796,0,0,0
"CALR4P",0,0.121239,0.23829,0,0,0,0.112133,0,0,0,0,0,0
"CALU",53.18849,73.07526,76.5598,84.29249,76.661284,67.262277,36.146737,48.052136,39.23514,45.392117,43.63375347,50.941614,49.225536
"CALY",0,0,0.260211,0,0,0,0,0.435279,0.711689,0,0.161575,0.700644,0
"CAMK1",13.466124,13.347599,15.41052,8.7502853,10.9511,7.576484,11.56353,13.043003,19.430795,22.7842585,15.765876,17.657246,9.834985
"CAMK1D",7.068175,12.78905,20.95832,20.52464,11.905661,9.690582,8.291766,25.622379,27.04326,30.354621,17.62049,14.357415,27.98242
"CAMK1G",0.155604,0,0,0,0,0,0,0,0,0,0,0.668347,0
"CAMK2A",0.152915,0,0.271542,0.221969,0,0.126162,0,0.215353,0.13481,0.0907581,0,0.272519,0.207735
"CAMK2B",0.141234,0.136188,0.133836,0.271929,0.407684,0.118086,0,0.281007,0.123672,0,0.173195,0.129772,0
"CAMK2D",21.91579,43.1365253,26.37497455,29.696893,34.2356118,22.593867,37.82833408,36.31211694,28.08531123,33.0058773,29.118773,23.871314,38.97564902
"CAMK2G",41.34657901,34.494644,55.803989,54.0615389,45.535616,43.9440651,41.68533507,51.118074,50.339436,51.01783248,51.35473562,45.627495,42.85932
"CAMK2N1",0.953354,0.662225,0.775727,1.70198,0.208396,0.647745,0.369812,0.306019,0.301576,0.618855,0.261615,0.4258753,0.168698
"CAMK4",46.433638,29.292765,44.685739,38.48674,41.62898,65.257343,53.21035,74.187505,78.70667,53.654023,65.364086,37.17859,101.435896
"CAMKK1",4.524133,3.871468,5.538684,2.58661,2.367447,2.9599579,1.445705003,3.384782004,3.812808022,2.6811806,4.547698039,3.633985033,3.801616011
"CAMKK2",36.45552591,41.397374,37.46549282,52.48891995,25.4295922,27.59480301,26.77155603,37.65595926,34.56413719,48.447735,36.86762585,37.9580358,32.6870127
"CAMKMT",18.457792,11.815973,23.88898,21.94676,23.885236,22.190976,15.57801,24.814759,26.269073,19.169368,22.358787,11.343697,22.236025
"CAMLG",41.4733,34.6316,36.7065,53.502,35.5405,33.1323,28.215,35.0067,37.0835,30.9791,35.9889,26.4995,25.7322
"CAMP",5.93402,9.08215,29.248,8.06261,3.02373,1.74841,45.3026,15.6238,2.44391,1.56778,3.00153,18.276,0.683164
"CAMSAP1",4.663734,3.096051,5.32252,12.487026,6.241258,4.69043,4.27772,8.399182,6.120498,4.880884,7.241901764,5.544426,8.127631
"CAMSAP2",1.05558,0.150939,0.370834,0.940926594,0.44988,2.0770799,0.296166057,0.604606047,0.688280104,0.574568523,0.570243,0.323102,0.101082
"CAMSAP3",0,0,0,0.2415764,0,0,0,0,0,0,0,0,0.0813837
"CAMTA1",26.86302268,21.748911,30.2856326,23.6092418,29.0270192,33.7186526,23.416902,30.3344608,32.447508,37.861962,10.977573,30.05258,62.4109531
"CAMTA1-DT",0,0,0,0,0,0,0,0,0,0,0,0,0.619523
"CAMTA2",24.41555083,19.73438411,26.11708537,30.975011,25.506162,15.7431982,17.0415909,20.081205,18.81936801,15.647117,25.51438,21.618806,24.03046987
"CAMTA2-AS1",0,0.550953,1.35399,0.275499,0.781294,1.36289,1.33495,2.65099,0.718541,0.476294,0.707553,0.262829,0.375385
"CAND1",56.86784,51.05094,61.01997,62.8615,55.04222,55.98615,42.77267,84.44267,57.21138,52.40233,70.986701,36.71914,82.92792
"CAND2",1.823521,0,0.353214,1.224931,1.770502,0.221068,0.3789003,0.8409,0.0376494,1.3780677,0.15693,0.793789,1.1922
"CANT1",11.15974,10.39782065,13.767512,13.55789307,11.539148,14.18874958,12.441632,8.332857,13.639831,14.262891,13.6140744,7.5347055,7.7829322
"CANX",156.792413,216.1662941,182.468379,215.198571,181.743429,188.943979,166.258765,187.56884,145.72663,144.789487,185.678904,175.062134,181.564537
"CAP1",843.0673843,1134.571723,1061.955005,1147.236375,944.484181,796.624667,632.56795,746.970473,720.39886,706.29169,885.845852,764.089813,883.599457
"CAP1P1",0.539792,0.895053,0.587446,0.520885,1.26223,0.64973,0.554609,0.924292,0.406639,0.486523,0.756553,1.20916,0.80121
"CAP1P2",0,0.148916,0,0.0742445,0,0.0648379,0,0.307585,0.0676187,0.0695284,0.0943497,0.212959,0
"CAP2",0,0,0,0,0,0,0,0,0,0,0,0.532321,0
"CAP2P1",0.310496,0.149945,0,0,0,0,0.0695204,0.154563,0.544345,0.62907,0.379563,0.642471,0.40346
"CAPG",239.90739,459.065794,326.607275,256.15375,326.137777,312.2861824,224.154331,236.2618768,227.19396,275.18056,234.11652,239.284559,262.5275816
"CAPN1",125.1958765,145.82745,115.270225,120.26751,100.749665,104.485056,109.700058,143.990779,104.450288,110.7337993,136.5001123,118.9628,103.885334
"CAPN10",15.830472,9.206942,20.804598,17.6789,14.836393,12.851042,13.114684,13.5684392,19.669951,23.745331,13.407483,10.12226686,9.835697996
"CAPN10-DT",0.884176,0.59631,0.540381,1.49175,0.623503,1.16397,1.6193,2.43733,1.42243,0.950566,2.19981,1.32593,2.58887
"CAPN11",0.757146,0,0.0342675,0,0,0.4854259,0.223133,0.531001,0.864532,0.29592751,0,0.2015614,0
"CAPN12",3.110909,0.501141,8.2352678,3.4924197,3.3217069,9.996410121,5.879605,12.845829,14.59313,6.097701,8.0933149,2.9671385,2.81161
"CAPN13",0.0868965,0,0.126389,0,0,0,0,0.0613707,0,0,0,0,0.0677618
"CAPN14",0,0,1.334814,0.0488418,0,0.824098,0.159467,0.403732,0.0444402,0.20634,0,0,0.426918
"CAPN15",5.1113417,4.1355956,6.457967,9.74651,7.67283,4.41458,4.249544,6.085084,4.20912,6.16714,4.272806,4.304851,8.947247
"CAPN2",151.036219,219.647434,197.980917,164.820584,181.35976,149.302211,163.743474,194.478152,167.545424,188.052843,158.778147,152.4080603,181.713783
"CAPN3",8.723491872,9.856319,17.99594423,10.52672228,9.087672049,11.040638,13.31204091,14.472527,12.02356747,12.69157006,13.266253,9.45993,8.342569
"CAPN5",3.280589,2.3725244,1.241228,2.293996,1.896546974,4.114317,3.100153,1.695679,2.369883,2.433205,4.142352,0.616903,1.772806
"CAPN7",28.222828,35.47992,32.37647,36.77157,32.662789,27.751691,24.07582,27.137235,21.769307,16.447163,23.846333,20.0419,31.654731
"CAPN8",0.689424,0,0,0.1801277,0.698428,0.526091,1.508147,0,1.940154,0,1.90852,0.565951,0.387194
"CAPN9",0,0,0,0,0.306963,0,0,0,0,0,0,0,0
"CAPNS1",43.747287,43.028422,87.415379,71.214604,53.250289,69.075452,42.49927621,45.21922903,62.40945,75.13172782,32.52272221,50.393839,40.5482119
"CAPNS2",0,0,0,0,0,0.479415,0.51127,0.113957,0.300972,0.515084,0.280501,0,0.298065
"CAPRIN1",81.981136,85.268039,81.840126,91.731889,84.937454,68.886853,87.817506,99.6598,93.109026,93.948901,127.1515432,84.397655,96.99773
"CAPRIN2",11.149589,7.305909609,16.07568,21.125303,14.86837071,7.164495258,8.57009641,14.050368,8.135214,9.447896,9.296018119,10.5926331,17.255693
"CAPS",23.47709,15.380828,30.32047,33.72229,34.35977,25.591554,19.263506,26.36103,23.53125,20.54253,21.64237,17.099326,20.36957
"CAPS2",6.31348,2.991515,5.0711792,2.053488798,6.516113,3.6732551,5.1235258,9.4815767,5.147286883,5.007911,5.562598,2.9053127,2.281628
"CAPS2-AS1",0,0,0,0,0,0,0,1.642325,0,0,0,0,0
"CAPSL",0,0,0,0.202715,0,0,0,0,0,0,0,0,0
"CAPZA1",339.918139,474.4493,358.43921,397.4948,481.02687,317.874311,256.772089,266.64748,311.725628,313.910107,248.23836,331.50123,435.19518
"CAPZA1P2",0.226517,0,0,0,0,0,0,0,0,0,0,0,0
"CAPZA1P3",0,0,0,0,0.140788,0,0,0,0,0,0,0,0
"CAPZA2",278.819682,386.924144,412.732437,386.13209,330.977577,340.104408,258.450545,254.9965277,239.12965,269.310197,310.018983,317.93193,309.554701
"CAPZB",529.39426,572.06758,465.41986,511.59953,500.81489,537.355327,409.05671,445.657459,464.98513,528.08479,487.34683,531.97819,425.17236
"CAPZBP1",0,0,0,0,1.6499,0,0,0,0,0,0,0,0
"CARD10",0,0,0,0,0,0,1.01695,0,0.2249505,0,0,0,0.355073
"CARD11",18.146513,7.053832,24.110411,24.200739,13.420893,16.789483,17.74642,14.9955,14.721043,18.32781,16.970444,14.976253,15.881929
"CARD11-AS1",0,0,0,0,0,0,0,1.17686,0,0.117081,0.321184,0,0
"CARD14",1.7076727,3.845997404,1.687528,3.3560973,2.061404,1.147615,1.552278,2.812912704,0.9581715,2.3418233,2.832774011,0.9266175,1.654485801
"CARD16",110.97541,115.77202,116.29258,93.37489,100.17535,86.94038,105.56213,107.41842,76.83109,97.01352,79.22767,80.22579,78.0963
"CARD17",3.883212,3.509251,1.418564,7.261155,8.818437,1.865852,7.74432,3.361091,3.6372308,4.0335,8.827815,4.276588,3.016631
"CARD19",26.563111,37.14455,41.22371,31.935381,35.595653,32.793124,29.71721278,45.02864,49.45175,33.913206,27.64664,37.025468,60.521752
"CARD6",6.86585,8.97072,5.23576,5.2837,8.95712,9.04953,10.23939,10.82989,6.65311,8.59161,12.03596,6.196569,4.0473
"CARD8",99.491767,80.74826422,74.28742683,102.5415903,86.172928,84.33954296,89.83558914,88.25072501,83.155619,70.4231031,111.976274,38.5277302,68.4543384
"CARD8-AS1",22.7802,25.6511,23.0333,20.0376,21.2457,17.1761,19.9533,21.1492,13.5751,23.0779,15.3091,15.2021,14.2662
"CARD9",19.5823862,46.46864,24.678109,27.806902,22.834941,20.314734,29.29174,31.29699,27.13083624,39.79127,31.1837509,39.38271207,21.736753
"CARF",7.0282934,5.158007057,8.6809763,16.712189,9.913575778,8.231473,6.646427,11.29256701,8.659086,7.388728393,13.5744152,6.812578,9.572758199
"CARHSP1",21.50609009,11.90696762,22.0862427,13.47957,19.52850834,14.17386958,13.74510008,19.94779285,21.16285967,15.579011,21.62061446,18.62602884,21.97399364
"CARM1",3.765248311,5.54651126,2.512919,3.799961186,5.584981004,6.270289757,4.787660732,5.817071192,5.624248,4.9077833,1.544259059,10.34142,3.5172
"CARM1P1",0,0,0.667022,1.68387,0.336487,0,0.436307,0,0,1.02034,0.561698,1.15068,1.48209
"CARMIL1",7.240477,7.6384405,12.512879,5.975667,15.52226,11.2015244,10.017766,5.864137,6.27059,11.123552,10.894046,8.143168,18.26624
"CARMIL2",2.2446942,0.949779444,2.4623219,1.7152774,2.0247091,3.070983,2.27957,1.63177304,4.5251856,3.7052953,2.8740307,0.94386054,1.13449
"CARMIL3",0,0,0.3236594,0,0.257832,0.652069,0.2613746,0.0822206,0.0193308,0.0972988,0.0902986,0.204334,0.2297197
"CARMN",0.5577979,1.22992,0.6714248,0.7444493,1.0671294,1.061337,0.8356875,1.4250004,0.4371923,0.9630434,0.3530239,0.5624057,1.0930117
"CARNMT1",4.710494,3.5976,8.302002,7.626316,5.728505,5.835851,3.94853,3.91258,6.716205,6.419243,6.120087,3.04042,6.968759
"CARNMT1-AS1",0.445559,1.5079,1.16471,2.21626,2.44529,0.437801,0.470971,2.29391,1.05115,0.441333,1.04184,1.63661,2.13924
"CARNS1",5.242938704,4.080930085,9.384980922,7.348154856,8.545405,3.790684923,5.237360763,3.959620109,6.089752568,3.207726011,1.906083662,2.631358191,3.153831341
"CARS1",36.808258,62.234048,54.5747114,50.96134,57.046462,44.672388,52.494623,52.862503,47.847228,54.442264,64.799502,41.314744,47.811206
"CARS1-AS1",0,0,0.711045,0.216579,0,0.188173,0,0,0.164301,0.136302,0.0454042,0.0342802,0.437214
"CARS2",82.408301,109.820719,64.946462,72.827486,65.452582,40.812397,64.027032,59.801629,54.729936,97.539077,71.258038,92.974105,74.027921
"CASC11",2.006341,0.156499,1.06266,1.55887,1.23416,1.556586,0.726377,1.235527,2.10485,2.06647,1.96755,0.588983,3.317752
"CASC15",0.6716552,0.942695,0.8467649,0.957827,0.280998,0.2815757,0.264022,1.1963675,0.720383,1.1021267,0.6002296,1.036095,2.315011
"CASC17",0,0,0,0.0474656,0,0,0,0,0,0,0,0,0
"CASC19",0,0,0,1.74501,0,0.998332,2.10547,1.79918,0,0.538174,0.750902,0.551014,0
"CASC2",0,0,0,0.0857132,0,0,0.529697,0,0.0259961,0,0,0,0
"CASC20",0,0,0.136766,0.212234,0.353235,0.122673,0.199042,0.0734279,0.320731,0.0652587,0.0890897,0,0.186805
"CASC3",55.024887,53.902588,78.322695,90.92864,60.277256,62.96172,43.195958,60.76165,52.23411,54.505528,65.424214,49.458903,61.361434
"CASC6",1.61451,0.221294,0.541234,1.08067,1.18394,0.16315,0.865193,2.48882,1.18839,0.388602,0.225561,0.895441,3.04695
"CASC8",0,0,7.50056,3.928017,2.84468,0.806213,0.114666,1.327235,0.337803,5.08675,3.72345,0.591081,0.334827
"CASC9",0.4222084,0.8019679,0.998069,1.462898,1.822364,0.146453,0.521035,0.810694,0.746133,0.585665,0.606553,0.32085,0.591892
"CASD1",4.164394,1.275385,7.865636,10.217535,7.586209,6.70741,3.69503,4.368894222,6.971187,7.805311,3.96878,4.61527,8.430939
"CASK",2.728538607,4.037625637,3.557021,1.7755424,2.933055,3.719241,4.3098142,7.71248,4.77859,4.099987,1.055766,3.583849001,3.833429
"CASK-AS1",0,0,0,1.0543,2.12653,0,0,0,0,0.31645,0,0,1.02586
"CASKIN2",0.150649,0.0364308,0.0358019,0.0544696,0.0543025,0.01585,0.237226,0.0562809,0.0660817,0.152829,0.0688484,0.0173311,0.0732209
"CASKP1",0,0,0.240604,0,0,0.211698,0,0,0,0,0,0.700543,0
"CASP1",290.70212,323.353563,241.375629,272.792355,290.569019,236.929455,325.188236,261.096317,214.007904,313.27155,282.80788,237.017346,213.29377
"CASP10",30.34186,31.716658,21.96629538,25.534388,28.826012,18.30686,33.20558302,24.54714421,25.71213906,33.563577,29.99292,20.63542,27.3651207
"CASP12",0,0,0,0,0.236878,0,0,0.18653,0.2156872,0,0,0,0
"CASP14",0.442018,0.625497,0.285392,0.375062,0.39476,0.573345,0.3831959,0.491105,0.0818365,0.488554,0.222671,0.349315,0.310992
"CASP16P",0.361789,0.768852,0.28933,0.502876,1.04507,0.4611,0.364859,0.7479677,0.313439,0.308804,0.125551,0.283375,0.422043
"CASP1P1",0,3.35614,0,0.718271,0,0,4.99232,6.08483,0.81232,0,0,2.20072,3.13265
"CASP1P2",0,0.537016,0.581742,0.803899,0.934622,0.220325,2.49542,1.75474,0.56894,0.236649,3.42778,0.68289,1.08318
"CASP2",49.131401,46.838885,54.401034,57.422086,61.272143,37.028825,41.751926,54.12821,46.274902,50.660467,49.197701,26.628093,30.745503
"CASP3",31.134877,23.370169,32.66388,24.46584,41.361199,29.171859,25.2063,31.02259,33.40543,37.277473,48.62756,23.533623,26.592532
"CASP4",313.824699,458.80778,342.922237,387.098597,358.98111,357.36777,301.420461,308.342558,233.52132,283.75896,277.5279111,276.37107,260.64188
"CASP4LP",26.81065,33.62448,49.572108,19.944305,27.42884,20.543021,27.70352,28.60194,34.234859,20.687871,22.35849,17.287837,23.89817
"CASP5",8.98179029,7.92058,3.569584,3.908777629,5.846266,4.911994,6.55733,6.235933,2.73849017,7.933535028,4.646973045,6.243697582,6.672928
"CASP6",21.878935,30.688366,29.998277,25.96218026,39.12324,27.756184,25.816344,23.327187,26.61129157,29.929945,18.64576713,16.089971,24.752348
"CASP7",21.8597,31.371168,27.82508106,24.26942043,25.368267,31.30317311,34.32291562,21.71813039,21.74831719,19.62596972,21.072376,27.733517,17.18833861
"CASP8",142.9221911,124.877816,178.94656,117.344138,93.515142,125.1628453,100.2182211,122.108395,107.811865,111.059282,129.581392,76.242075,96.835351
"CASP8AP2",31.27183,20.26705,24.98205,24.921963,29.804256,50.87014001,27.480076,33.915694,31.52183033,31.49863,31.85835,21.35568803,34.13549
"CASP9",7.73147,15.009854,13.86834,18.00721,10.053478,21.30589,10.93682716,13.518078,14.4956,14.796355,14.49449,26.282232,26.504753
"CASQ1",0,0,0.813029,1.085574,1.870284,0,0,1.425823,0.54118,0,0,0.546743,0.183552
"CASQ2",0,0.0669174,2.88321,0,0,0,0,3.1403847,0,2.91972,2.0195143,0,2.0215
"CASR",0.248456,0.199973,0.294493,0.363849,0.148907,0.231054,0.274044,0.411699,0.275613,0.292461,0.270416,0.236773,0.386604
"CASS4",8.321128,2.865709,13.382497,13.42251,8.214695,10.74799,5.005419,9.808769,10.28095,7.702253,14.46045,13.01805,15.64305
"CAST",164.8344684,202.2248887,159.1065532,182.1778649,181.589041,152.639062,142.0508275,187.3221564,138.743031,160.9648608,164.0091467,153.7539852,155.229849
"CASTOR1",8.22442305,7.362347,10.934205,12.474563,20.086371,12.934229,20.864592,12.66153647,15.85439,13.453164,21.754438,14.678545,20.71076
"CASTOR2",1.34044,0.149731,1.328367,0.1741,0.200856,0.2137772,0.63336,0.637962,0.7204131,0.813067,2.547872,0.6871863,0.720577
"CASTOR3",4.285973,1.578929,3.283979,2.0378191,4.078923,2.686921,2.7888703,5.108505,5.08222,4.960059,8.134972,3.297711,5.71643
"CASZ1",1.4481839,0.897658,2.621394,1.124312,0.8179754,2.6153286,2.3628795,2.94286448,3.611842,2.929958,1.7400714,1.741982,1.6592293
"CAT",142.699502,166.80415,176.07591,196.21796,163.08858,190.414756,135.10197,148.9208,137.5493,134.80355,162.227711,177.10359,161.223114
"CATIP",2.56417,5.140888,5.897385,4.756692,2.90458,2.60259,2.09886,5.47853,2.6003,2.415906,2.34655,2.60041,3.213584
"CATIP-AS1",0.79418,3.02897,5.30523,0.783779,0,1.102466,0.31219,3.245112,0,1.899893,0,1.41753,0.466738
"CATIP-AS2",0.881405,0,4.16753,3.73014,2.82503,4.1498,0.259894,0,1.0404,1.01568,1.0151,2.68997,3.08089
"CATSPER1",2.9749,3.991335,3.438558,5.857619,2.470539,2.205725,2.5307,3.980489,3.20938,4.365935,3.91068,1.913006,3.724513
"CATSPER2",3.2275137,4.1755159,9.56374,5.0422081,2.813267,7.044069,3.934611,8.203393,4.755786,2.607976,4.38416,7.534369,9.341214
"CATSPER2P1",3.5648188,3.192859,3.077659,3.28648,3.469212,2.114344,2.901075,4.520168,2.645286,2.3776451,4.835949,1.321312,4.084549
"CATSPER3",0.547004,0.535392,0.775159,1.34251,0,0.398628,2.09999,1.18263,0.138833,0.998291,0.387265,0,0
"CATSPER4",0,0,0,0,0,4.833527,0,0,0,0,0,0,0
"CATSPERB",2.677405,1.243206,3.460683,1.951041,1.851977,1.6480213,1.7755959,2.2403179,0.8376462,1.690127,3.147896,1.272099,1.7342451
"CATSPERD",0,0,0,0,0,0,0.0660991,0,0,0,0,0,0
"CATSPERE",0.130677,0,1.5577119,0.0839716,0.167513,1.872583,0.855118,0.341896,1.2553032,1.494786,0.188769,0.0400764,1.198897
"CATSPERG",5.1273189,3.7262618,3.8594458,2.712092,6.6305689,1.778616,2.979026,4.8018269,4.326915,2.0620355,2.940290009,1.6244098,2.2222139
"CATSPERZ",0,0,0,0,0,0,0,0.523683,0,0,0.215231,0.240729,0
"CAV1",0.821003,0.28205756,1.8105539,0,3.130788,0.4054245,0.9662768,1.977665,3.473654,1.183444,2.363785,2.259308,1.3479696
"CAV2",2.727436,1.714425,5.381156,0.10902,3.643622,1.278673,1.336734,5.11623,2.664475,0.468369,2.804447,1.078129,4.2951
"CAV3",0,0,0,0,1.53692,0,0.354179,0,0,0,0,0,0
"CAVIN1",0.144867,0.177936,0.21481,0.150996,0.146506,0.126879,0.184975,0.223473,0.18162,0.253407,0.314381,0.322872,0.317884
"CAVIN2",168.083,191.938,230.194,109.3,99.6622,153.24,51.4232,143.999,144.062,96.2789,129.754,143.199,163.264
"CAVIN2-AS1",0.205617,0.519496,0.452927,0.309589,0.641037,0.313578,0,0,0.453127,0.493718,1.09952,0.262422,0.394778
"CAVIN3",0.381461,0.64446,1.53806,0.275584,1.659272,0.9950509,0.68231,1.478144,0.627023,0.429172,0.589155,0.438403,0.248027
"CAVIN4",0,0.0785434,0.156041,0.373745,0,0.0963898,0.175213,0.114537,0.187233,0.173146,0.13844,0.0356163,0.098337
"CBFA2T2",7.391552931,4.617359,8.720817,4.7916424,4.399505,7.413004,5.803425007,8.527227,8.911532068,6.0794774,8.275544,4.974062,10.7415886
"CBFA2T3",7.493431,5.94291737,6.681108,6.324491,7.662623,5.58151,4.547693,9.687908,4.581816065,9.215257,8.24554847,7.140037,10.38407015
"CBFB",22.108976,30.901217,37.51714,33.194289,27.353821,22.318172,24.757454,21.10828,23.606957,28.10857,20.225516,18.766276,23.884902
"CBL",11.774124,9.676544,10.3372,9.698185,9.406622,8.228432,9.120097,10.913699,10.1045,11.358952,10.2437,11.574902,12.54932
"CBLB",51.57256,27.249025,41.95652,56.110222,41.789144,56.55826,33.368718,48.717296,48.3414685,41.231258,47.425796,33.607541,51.50649
"CBLL1",46.019575,57.75188,76.186737,75.77515,76.88106,82.946816,57.135285,65.64889567,67.92153,76.426724,81.773794,55.389169,87.15216
"CBLL1-AS1",3.38273,3.225115,7.383316,0.611039,6.952555,4.210099,5.871615,4.859027,3.78456,5.93983,6.49949,1.048825,1.0882
"CBLL1P1",0.437477,0.556918,0.608139,0.631005,0.449144,0.254327,0.65401,0.461942,0.711404,0.535593,0.488537,0.250378,1.2695
"CBLN1",0,0,0,0,0,0.0343455,0,0,0,0,0,0,0
"CBLN2",0,0.0561026,0.192969,0.0559288,0.111538,0,0.0260801,0,0,0.7222997,0.141479,0.0800789,0.0752252
"CBLN3",0.340572,0.0411545,0.534578,0.533447,0.777642,0.17893,0.674771,0.381602,0.373354,0.992184,0.703742,0.23501,0.165701
"CBR1",48.34961,103.087956,43.749829,51.67417,64.678002,51.63519,74.318836,46.201909,54.457411,55.812204,49.6602,44.328856,35.76884
"CBR3",2.56969,5.72782,4.3171,0.57283,2.4505,1.96026,2.45809,4.15171,5.93762,2.07096,4.45463,0.744386,3.92633
"CBR3-AS1",11.143922,15.44367819,11.4632743,13.877223,11.9106427,10.220925,8.880283,11.487399,7.198653,12.363776,8.740179,8.944967,11.928392
"CBR4",31.456702,25.096679,24.5218773,29.620928,35.097761,21.735709,24.197559,39.160291,27.37372,34.17225,30.79423,19.87275,21.44213
"CBR4-DT",0,0,0,0,0,1.55103,0,0,0,0,0,0,0
"CBS",0.5011816,1.4105111,0.5632023,0.3954282,1.30292,0.873757,1.1107679,0.3551052,0.314027,1.494333,1.36478,0.000123217,1.591521139
"CBSL",0.234793,0,0.0201553,0,0,0,0.116825,0.453091,0,0.216902,0,0,0.588692
"CBWD1",66.7675143,100.828578,50.43368264,34.71358667,57.61635295,65.6455736,54.41154986,62.41056128,45.16365012,54.91606305,43.130931,31.47948598,58.98095574
"CBWD2",62.776233,124.302708,63.370157,65.907524,63.337915,65.43711,46.319645,40.750813,33.840753,60.831426,55.8094,57.039765,55.261833
"CBWD3",30.95819947,33.019834,27.656328,34.4522832,40.061524,38.67260432,23.10315527,26.394857,18.5467874,31.58951856,24.614578,21.3353607,31.72728
"CBWD4P",0,0,0,8.37074,10.5126,10.8031,0,2.25296,13.41,6.82937,0,6.29946,0
"CBWD5",75.83731366,79.875614,73.1048682,63.08874403,105.104183,64.854311,61.311271,59.3249989,46.005088,85.27615835,71.142859,65.25653962,61.21592
"CBWD6",17.062765,23.473619,16.919634,16.5566692,20.23751266,18.086304,8.72882,11.527183,16.04020107,16.186177,9.741763,20.6298658,16.334658
"CBX1",22.344437,13.22016,30.550807,28.018261,25.92469,15.675732,15.540381,13.251916,19.4432466,21.47545,15.930313,13.463197,15.077572
"CBX1P2",0,0,0,0,0,0,0,0,0,0,0,0,0.510258
"CBX1P4",0,1.49556,0,0,0,0,0,0,0,0,0,0,0
"CBX2",0,0.197453,0.251113,0,0,0,0,0.0610091,0.662605,0.239294,0.352593,0.206658,0
"CBX3",134.42804,199.281861,203.277404,196.598879,200.226854,117.85404,94.715129,90.505682,92.117641,105.488868,112.247472,77.65376,108.091184
"CBX3P2",2.636971,1.23319,1.937904,1.02238,1.22778,6.32734,2.73709,2.619433,1.0237988,0.787212,2.170968,1.0748702,3.839239
"CBX3P3",0.295838,0.284363,5.03185,1.99107,6.27112,2.21145,0.52165,1.76322,4.65207,0.794868,0.730693,0.271328,1.16311
"CBX3P4",0,0.86831,2.89549,0,0,0,0.395958,0,0,0,1.12153,0,0
"CBX3P5",0.306729,0,0,0,0.59127,0,0,0.609294,1.60773,0.274657,0.757897,0.843929,0
