"","CYFZ_PBMC","FY2H_PBMC","FLWA_PBMC","453W_PBMC","684C_PBMC","CZJE_PBMC","DZQV_PBMC","925L_PBMC","9JD4_PBMC","G4YW_PBMC","4DUY_PBMC","36TS_PBMC","CR3L_PBMC"
"ENSG00000275512",3.53857,3.23586,4.88927,4.17848,3.85379,3.4095,3.34476,5.28226,3.88534,3.90211,2.85485,2.51362,3.945
"ENSG00000275515",3.6676,0,0,0,0,0,0,1.81083,0,0,0,0,0
"ENSG00000275527",2.57179,0.815914,0,0,0,0.286018,0.164339,0.00386653,0.496091,0.717624,1.59193,0.103179,0.231162
"ENSG00000275540",0.0744192,0.431299,0,0.0717036,0,0.187348,0,0,0,0,0.272873,0.0684413,0
"ENSG00000275550",0,0,0,0,2.067,0,5.51829,0,1.87476,0,0,0,0
"ENSG00000275552",0.222658,0.215646,0.284961,0.464355,0.242918,0.31653,0.25425,0.318288,0.264414,0.468468,0.0559399,0.358025,0.218243
"ENSG00000275557",5.40508,2.62072,0,5.32154,2.75398,1.10222,4.61444,5.64214,4.50545,4.29242,6.09307,1.73188,3.95583
"ENSG00000275559",0,0,0,0,0,0,0,0,0,0,2.2633,0,0
"ENSG00000275569",1.64201,0,0,0,1.31807,0.682364,0,0.815679,1.19553,0.245244,0,0.753104,0
"ENSG00000275576",1.93085,1.11243,0,0,1.11756,2.23969,1.69419,3.83592,0,0,0.956539,3.1837,0
"ENSG00000275580",3.87389,1.65786,8.95805,0.207047,1.45067,2.86951,1.90785,0.855787,3.20015,1.73813,1.58933,0.790431,2.25035
"ENSG00000275582",0.210996,0.809773,0.207657,0,0.823753,0.186217,0,0,0,0.374282,0,0.375617,0.618023
"ENSG00000275601",0.443073,0,5.02926,0.21311,0.21333,2.39933,1.9629,3.7439,1.35631,1.59018,1.63647,2.23731,0.289601
"ENSG00000275607",7.77432,1.6519,0,0,5.83712,4.25724,2.98358,2.55903,5.23101,1.53375,6.41721,1.56768,11.3839
"ENSG00000275613",0,0,0,0,0,0,0,0,1.02722,0,0,0,0
"ENSG00000275628",0.144752,0.0499094,0.0729961,0.0372596,0,0.0145191,0.0158866,0,0,0.0473443,0.111099,0.0488448,0.0262059
"ENSG00000275632",3.28549,4.70624,3.62745,3.50414,0.862193,1.09494,0,1.31206,0,1.35971,2.25073,1.11407,1.29688
"ENSG00000275634",0,0,0,0,0,0,0,0.0827957,0,0,0,0,0
"ENSG00000275638",0,0.293487,0,0.57311,2.69819,0,2.31859,0,1.66861,0.0308932,0.0223018,0.205165,0.278346
"ENSG00000275645",0,0,0,1.33616,0,0.766295,0,0.920106,0,0.413882,0.574509,0,2.14321
"ENSG00000275646",0,0,0,0,0,0,0,2.51476,0,0,0,0,0
"ENSG00000275647",3.04294,2.18227,10.7901,0.729884,11.0142,9.37955,0,0,0.657816,2.02641,1.88601,0.690361,4.01209
"ENSG00000275649",0.929379,0,1.31835,0.223491,1.11857,1.93458,0.617091,2.77132,0.812596,0.416816,0.858586,1.49272,1.51919
